Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'instant'  ###
| Statistic          |         Overall |
| Mode               |     0.62       |
| Range              |     0.98       |
| IQR                |     0.32       |
| Variance           |     0.0370779  |
| Skewness           |    -0.00602088 |
| Kurtosis           |    -0.941844   |


### Analysis for 'atemp'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     0.475775  |
| Trimmed Mean (IQR) |     0.475775  |
| MAD                |     0.145324  |
| Std                |     0.17185   |
| Min                |     0         |
| 25%                |     0.3333    |
| 50%                |     0.4848    |
| 75%                |     0.6212    |
| Max                |     1         |
| Mode               |     0.6212    |
| Range              |     1         |
| IQR                |     0.2879    |
| Variance           |     0.0295325 |
| Skewness           |    -0.0904289 |
| Kurtosis           |    -0.845412  |


### Analysis for 'hum'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     0.627229  |
| Trimmed Mean (IQR) |     0.628024  |
| MAD                |     0.163311  |
| Std                |     0.19293   |
| Min                |     0         |
| 25%                |     0.48      |
| 50%                |     0.63      |
| 75%                |     0.78      |
| Max                |     1         |
| Mode               |     0.88      |
| Range              |     1         |
| IQR                |     0.3       |
| Variance           |     0.0372219 |
| Skewness           |    -0.111287  |
| Kurtosis           |    -0.826117  |


### Analysis for 'windspeed'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     0.190098  |
| Trimmed Mean (IQR) |     0.182893  |
| MAD                |     0.0963123 |
| Std                |     0.12234   |
| Min                |     0         |
| 25%                |     0.1045    |
| 50%                |     0.194     |
| 75%                |     0.2537    |
| Max                |     0.8507    |
| Mode               |     0         |
| Range              |     0.8507    |
| IQR                |     0.1492    |
| Variance           |     0.0149671 |
| Skewness           |     0.574905  |
| Kurtosis           |     0.59082   |


### Analysis for 'casual'  ###
| Statistic          |     Overall |
|--------------------|-------------|
| Count              | 17379       |
| Mean               |    35.6762  |
| Trimmed Mean (IQR) |    25.0584  |
| MAD                |    34.14    |
| Std                |    49.305   |
| Min                |     0       |
| 25%                |     4       |
| 50%                |    17       |
| 75%                |    48       |
| Max                |   367       |
| Mode               |     0       |
| Range              |   367       |
| IQR                |    44       |
| Variance           |  2430.99    |
| Skewness           |     2.49924 |
| Kurtosis           |     7.571   |


### Analysis for 'registered'  ###
| Statistic          |     Overall |
|--------------------|-------------|
| Count              | 17379       |
| Mean               |   153.787   |
| Trimmed Mean (IQR) |   134.378   |
| MAD                |   114.396   |
| Std                |   151.357   |
| Min                |     0       |
| 25%                |    34       |
| 50%                |   115       |
| 75%                |   220       |
| Max                |   886       |
| Mode               |     4       |
| Range              |   886       |
| IQR                |   186       |
| Variance           | 22909       |
| Skewness           |     1.5579  |
| Kurtosis           |     2.75002 |


### Analysis for 'cnt'  ###
| Statistic          |     Overall |
|--------------------|-------------|
| Count              | 17379       |
| Mean               |   189.463   |
| Trimmed Mean (IQR) |   172.71    |
| MAD                |   142.4     |
| Std                |   181.388   |
| Min                |     1       |
| 25%                |    40       |
| 50%                |   142       |
| 75%                |   281       |
| Max                |   977       |
| Mode               |     5       |
| Range              |   976       |
| IQR                |   241       |
| Variance           | 32901.5     |
| Skewness           |     1.27741 |
| Kurtosis           |     1.4172  |

