### Consolidated Categorical Variable Analysis ###
========================================================================================================================


### Dteday Summary ###


| dteday     |   Count |   Percentage |
| 2012-05-20 |      24 |         0.14 |
| 2012-05-29 |      24 |         0.14 |
| 2012-05-21 |      24 |         0.14 |
| 2012-05-22 |      24 |         0.14 |
| 2012-05-23 |      24 |         0.14 |
| 2012-05-24 |      24 |         0.14 |
| 2012-05-25 |      24 |         0.14 |
| 2012-05-26 |      24 |         0.14 |
| 2012-05-27 |      24 |         0.14 |
| 2012-05-28 |      24 |         0.14 |
| 2012-05-30 |      24 |         0.14 |
| 2012-06-08 |      24 |         0.14 |
| 2012-05-31 |      24 |         0.14 |
| 2012-06-01 |      24 |         0.14 |
| 2012-06-02 |      24 |         0.14 |
| 2012-06-03 |      24 |         0.14 |
| 2012-06-04 |      24 |         0.14 |
| 2012-06-05 |      24 |         0.14 |
| 2012-06-06 |      24 |         0.14 |
| 2012-06-07 |      24 |         0.14 |
| 2012-04-04 |      24 |         0.14 |
| 2012-04-01 |      24 |         0.14 |
| 2012-07-01 |      24 |         0.14 |
| 2012-03-31 |      24 |         0.14 |
| 2012-01-23 |      24 |         0.14 |
| 2012-01-24 |      24 |         0.14 |
| 2012-01-25 |      24 |         0.14 |
| 2012-01-26 |      24 |         0.14 |
| 2012-01-27 |      24 |         0.14 |
| 2012-01-28 |      24 |         0.14 |
| 2012-01-29 |      24 |         0.14 |
| 2012-01-30 |      24 |         0.14 |
| 2012-01-31 |      24 |         0.14 |
| 2012-02-01 |      24 |         0.14 |
| 2012-02-02 |      24 |         0.14 |
| 2012-02-03 |      24 |         0.14 |
| 2012-02-04 |      24 |         0.14 |
| 2012-02-05 |      24 |         0.14 |
| 2012-02-07 |      24 |         0.14 |
| 2012-02-08 |      24 |         0.14 |
| 2012-02-09 |      24 |         0.14 |
| 2012-02-10 |      24 |         0.14 |
| 2012-02-11 |      24 |         0.14 |
| 2012-01-22 |      24 |         0.14 |
| 2012-01-21 |      24 |         0.14 |
| 2012-01-20 |      24 |         0.14 |
| 2012-01-07 |      24 |         0.14 |
| 2011-12-27 |      24 |         0.14 |
| 2011-12-29 |      24 |         0.14 |
| 2011-12-30 |      24 |         0.14 |
| 2011-12-31 |      24 |         0.14 |
| 2012-01-03 |      24 |         0.14 |
| 2012-01-04 |      24 |         0.14 |
| 2012-01-05 |      24 |         0.14 |
| 2012-01-06 |      24 |         0.14 |
| 2012-01-08 |      24 |         0.14 |
| 2012-01-19 |      24 |         0.14 |
| 2012-01-09 |      24 |         0.14 |
| 2012-01-11 |      24 |         0.14 |
| 2012-01-12 |      24 |         0.14 |
| 2012-01-13 |      24 |         0.14 |
| 2012-01-14 |      24 |         0.14 |
| 2012-01-15 |      24 |         0.14 |
| 2012-01-16 |      24 |         0.14 |
| 2012-01-18 |      24 |         0.14 |
| 2012-02-12 |      24 |         0.14 |
| 2012-02-13 |      24 |         0.14 |
| 2012-02-14 |      24 |         0.14 |
| 2012-03-21 |      24 |         0.14 |
| 2012-03-13 |      24 |         0.14 |
| 2012-03-14 |      24 |         0.14 |
| 2012-03-15 |      24 |         0.14 |
| 2012-03-16 |      24 |         0.14 |
| 2012-03-17 |      24 |         0.14 |
| 2012-03-18 |      24 |         0.14 |
| 2012-03-19 |      24 |         0.14 |
| 2012-03-20 |      24 |         0.14 |
| 2012-03-22 |      24 |         0.14 |
| 2012-03-10 |      24 |         0.14 |
| 2012-03-23 |      24 |         0.14 |
| 2012-03-24 |      24 |         0.14 |
| 2012-03-25 |      24 |         0.14 |
| 2012-03-26 |      24 |         0.14 |
| 2012-03-27 |      24 |         0.14 |
| 2012-03-28 |      24 |         0.14 |
| 2012-03-29 |      24 |         0.14 |
| 2012-03-30 |      24 |         0.14 |
| 2012-03-12 |      24 |         0.14 |
| 2012-03-09 |      24 |         0.14 |
| 2012-02-15 |      24 |         0.14 |
| 2012-02-26 |      24 |         0.14 |
| 2012-02-16 |      24 |         0.14 |
| 2012-02-17 |      24 |         0.14 |
| 2012-02-18 |      24 |         0.14 |
| 2012-02-19 |      24 |         0.14 |
| 2012-02-22 |      24 |         0.14 |
| 2012-02-23 |      24 |         0.14 |
| 2012-02-24 |      24 |         0.14 |
| 2012-02-25 |      24 |         0.14 |
| 2012-02-27 |      24 |         0.14 |
| 2012-03-08 |      24 |         0.14 |
| 2012-02-28 |      24 |         0.14 |
| 2012-03-01 |      24 |         0.14 |
| 2012-03-02 |      24 |         0.14 |
| 2012-03-03 |      24 |         0.14 |
| 2012-03-04 |      24 |         0.14 |
| 2012-03-05 |      24 |         0.14 |
| 2012-03-06 |      24 |         0.14 |
| 2012-03-07 |      24 |         0.14 |
| 2012-06-30 |      24 |         0.14 |
| 2012-07-02 |      24 |         0.14 |
| 2011-12-23 |      24 |         0.14 |
| 2012-09-29 |      24 |         0.14 |
| 2012-10-23 |      24 |         0.14 |
| 2012-10-24 |      24 |         0.14 |
| 2012-10-25 |      24 |         0.14 |
| 2012-10-26 |      24 |         0.14 |
| 2012-10-27 |      24 |         0.14 |
| 2012-10-28 |      24 |         0.14 |
| 2012-10-31 |      24 |         0.14 |
| 2012-11-01 |      24 |         0.14 |
| 2012-11-02 |      24 |         0.14 |
| 2012-11-03 |      24 |         0.14 |
| 2012-11-04 |      24 |         0.14 |
| 2012-11-05 |      24 |         0.14 |
| 2012-11-06 |      24 |         0.14 |
| 2012-11-07 |      24 |         0.14 |
| 2012-11-09 |      24 |         0.14 |
| 2012-11-10 |      24 |         0.14 |
| 2012-11-11 |      24 |         0.14 |
| 2012-11-12 |      24 |         0.14 |
| 2012-11-13 |      24 |         0.14 |
| 2012-10-22 |      24 |         0.14 |
| 2012-10-21 |      24 |         0.14 |
| 2012-10-20 |      24 |         0.14 |
| 2012-10-09 |      24 |         0.14 |
| 2012-10-01 |      24 |         0.14 |
| 2012-10-02 |      24 |         0.14 |
| 2012-10-03 |      24 |         0.14 |
| 2012-10-04 |      24 |         0.14 |
| 2012-10-05 |      24 |         0.14 |
| 2012-10-06 |      24 |         0.14 |
| 2012-10-07 |      24 |         0.14 |
| 2012-10-08 |      24 |         0.14 |
| 2012-10-10 |      24 |         0.14 |
| 2012-10-19 |      24 |         0.14 |
| 2012-10-11 |      24 |         0.14 |
| 2012-10-12 |      24 |         0.14 |
| 2012-10-13 |      24 |         0.14 |
| 2012-10-14 |      24 |         0.14 |
| 2012-10-15 |      24 |         0.14 |
| 2012-10-16 |      24 |         0.14 |
| 2012-10-17 |      24 |         0.14 |
| 2012-10-18 |      24 |         0.14 |
| 2012-11-14 |      24 |         0.14 |
| 2012-11-15 |      24 |         0.14 |
| 2012-11-16 |      24 |         0.14 |
| 2012-12-19 |      24 |         0.14 |
| 2012-12-11 |      24 |         0.14 |
| 2012-12-12 |      24 |         0.14 |
| 2012-12-13 |      24 |         0.14 |
| 2012-12-14 |      24 |         0.14 |
| 2012-12-15 |      24 |         0.14 |
| 2012-12-16 |      24 |         0.14 |
| 2012-12-17 |      24 |         0.14 |
| 2012-12-18 |      24 |         0.14 |
| 2012-12-20 |      24 |         0.14 |
| 2012-12-09 |      24 |         0.14 |
| 2012-12-21 |      24 |         0.14 |
| 2012-12-22 |      24 |         0.14 |
| 2012-12-23 |      24 |         0.14 |
| 2012-12-26 |      24 |         0.14 |
| 2012-12-27 |      24 |         0.14 |
| 2012-12-28 |      24 |         0.14 |
| 2012-12-29 |      24 |         0.14 |
| 2012-12-30 |      24 |         0.14 |
| 2012-12-10 |      24 |         0.14 |
| 2012-12-08 |      24 |         0.14 |
| 2012-11-17 |      24 |         0.14 |
| 2012-11-26 |      24 |         0.14 |
| 2012-11-18 |      24 |         0.14 |
| 2012-11-19 |      24 |         0.14 |
| 2012-11-20 |      24 |         0.14 |
| 2012-11-21 |      24 |         0.14 |
| 2012-11-22 |      24 |         0.14 |
| 2012-11-23 |      24 |         0.14 |
| 2012-11-24 |      24 |         0.14 |
| 2012-11-25 |      24 |         0.14 |
| 2012-11-27 |      24 |         0.14 |
| 2012-12-07 |      24 |         0.14 |
| 2012-11-28 |      24 |         0.14 |
| 2012-11-30 |      24 |         0.14 |
| 2012-12-01 |      24 |         0.14 |
| 2012-12-02 |      24 |         0.14 |
| 2012-12-03 |      24 |         0.14 |
| 2012-12-04 |      24 |         0.14 |
| 2012-12-05 |      24 |         0.14 |
| 2012-12-06 |      24 |         0.14 |
| 2012-09-30 |      24 |         0.14 |
| 2012-09-28 |      24 |         0.14 |
| 2012-07-03 |      24 |         0.14 |
| 2012-09-27 |      24 |         0.14 |
| 2012-07-26 |      24 |         0.14 |
| 2012-07-27 |      24 |         0.14 |
| 2012-07-28 |      24 |         0.14 |
| 2012-07-29 |      24 |         0.14 |
| 2012-07-30 |      24 |         0.14 |
| 2012-07-31 |      24 |         0.14 |
| 2012-08-01 |      24 |         0.14 |
| 2012-08-02 |      24 |         0.14 |
| 2012-08-03 |      24 |         0.14 |
| 2012-08-04 |      24 |         0.14 |
| 2012-08-05 |      24 |         0.14 |
| 2012-08-06 |      24 |         0.14 |
| 2012-08-07 |      24 |         0.14 |
| 2012-08-08 |      24 |         0.14 |
| 2012-08-09 |      24 |         0.14 |
| 2012-08-10 |      24 |         0.14 |
| 2012-08-11 |      24 |         0.14 |
| 2012-08-12 |      24 |         0.14 |
| 2012-08-13 |      24 |         0.14 |
| 2012-07-25 |      24 |         0.14 |
| 2012-07-24 |      24 |         0.14 |
| 2012-07-23 |      24 |         0.14 |
| 2012-07-12 |      24 |         0.14 |
| 2012-07-04 |      24 |         0.14 |
| 2012-07-05 |      24 |         0.14 |
| 2012-07-06 |      24 |         0.14 |
| 2012-07-07 |      24 |         0.14 |
| 2012-07-08 |      24 |         0.14 |
| 2012-07-09 |      24 |         0.14 |
| 2012-07-10 |      24 |         0.14 |
| 2012-07-11 |      24 |         0.14 |
| 2012-07-13 |      24 |         0.14 |
| 2012-07-22 |      24 |         0.14 |
| 2012-07-14 |      24 |         0.14 |
| 2012-07-15 |      24 |         0.14 |
| 2012-07-16 |      24 |         0.14 |
| 2012-07-17 |      24 |         0.14 |
| 2012-07-18 |      24 |         0.14 |
| 2012-07-19 |      24 |         0.14 |
| 2012-07-20 |      24 |         0.14 |
| 2012-07-21 |      24 |         0.14 |
| 2012-08-14 |      24 |         0.14 |
| 2012-08-15 |      24 |         0.14 |
| 2012-08-16 |      24 |         0.14 |
| 2012-09-17 |      24 |         0.14 |
| 2012-09-09 |      24 |         0.14 |
| 2012-09-10 |      24 |         0.14 |
| 2012-09-11 |      24 |         0.14 |
| 2012-09-12 |      24 |         0.14 |
| 2012-09-13 |      24 |         0.14 |
| 2012-09-14 |      24 |         0.14 |
| 2012-09-15 |      24 |         0.14 |
| 2012-09-16 |      24 |         0.14 |
| 2012-09-18 |      24 |         0.14 |
| 2012-09-07 |      24 |         0.14 |
| 2012-09-19 |      24 |         0.14 |
| 2012-09-20 |      24 |         0.14 |
| 2012-09-21 |      24 |         0.14 |
| 2012-09-22 |      24 |         0.14 |
| 2012-09-23 |      24 |         0.14 |
| 2012-09-24 |      24 |         0.14 |
| 2012-09-25 |      24 |         0.14 |
| 2012-09-26 |      24 |         0.14 |
| 2012-09-08 |      24 |         0.14 |
| 2012-09-06 |      24 |         0.14 |
| 2012-08-17 |      24 |         0.14 |
| 2012-08-26 |      24 |         0.14 |
| 2012-08-18 |      24 |         0.14 |
| 2012-08-19 |      24 |         0.14 |
| 2012-08-20 |      24 |         0.14 |
| 2012-08-21 |      24 |         0.14 |
| 2012-08-22 |      24 |         0.14 |
| 2012-08-23 |      24 |         0.14 |
| 2012-08-24 |      24 |         0.14 |
| 2012-08-25 |      24 |         0.14 |
| 2012-08-27 |      24 |         0.14 |
| 2012-09-05 |      24 |         0.14 |
| 2012-08-28 |      24 |         0.14 |
| 2012-08-29 |      24 |         0.14 |
| 2012-08-30 |      24 |         0.14 |
| 2012-08-31 |      24 |         0.14 |
| 2012-09-01 |      24 |         0.14 |
| 2012-09-02 |      24 |         0.14 |
| 2012-09-03 |      24 |         0.14 |
| 2012-09-04 |      24 |         0.14 |
| 2011-12-24 |      24 |         0.14 |
| 2012-01-01 |      24 |         0.14 |
| 2011-12-22 |      24 |         0.14 |
| 2011-07-29 |      24 |         0.14 |
| 2011-06-01 |      24 |         0.14 |
| 2011-06-02 |      24 |         0.14 |
| 2011-06-03 |      24 |         0.14 |
| 2011-06-04 |      24 |         0.14 |
| 2011-06-05 |      24 |         0.14 |
| 2011-06-06 |      24 |         0.14 |
| 2011-06-07 |      24 |         0.14 |
| 2011-06-08 |      24 |         0.14 |
| 2011-06-09 |      24 |         0.14 |
| 2011-06-10 |      24 |         0.14 |
| 2011-06-11 |      24 |         0.14 |
| 2011-06-12 |      24 |         0.14 |
| 2011-06-13 |      24 |         0.14 |
| 2011-06-14 |      24 |         0.14 |
| 2011-06-15 |      24 |         0.14 |
| 2011-06-16 |      24 |         0.14 |
| 2011-06-17 |      24 |         0.14 |
| 2011-05-31 |      24 |         0.14 |
| 2011-05-30 |      24 |         0.14 |
| 2011-05-29 |      24 |         0.14 |
| 2011-05-19 |      24 |         0.14 |
| 2011-05-12 |      24 |         0.14 |
| 2011-05-13 |      24 |         0.14 |
| 2011-05-14 |      24 |         0.14 |
| 2011-05-15 |      24 |         0.14 |
| 2011-05-16 |      24 |         0.14 |
| 2011-05-17 |      24 |         0.14 |
| 2011-05-18 |      24 |         0.14 |
| 2011-05-20 |      24 |         0.14 |
| 2011-05-28 |      24 |         0.14 |
| 2011-05-21 |      24 |         0.14 |
| 2011-05-22 |      24 |         0.14 |
| 2011-05-23 |      24 |         0.14 |
| 2011-05-24 |      24 |         0.14 |
| 2011-05-25 |      24 |         0.14 |
| 2011-05-26 |      24 |         0.14 |
| 2011-05-27 |      24 |         0.14 |
| 2011-06-18 |      24 |         0.14 |
| 2011-06-19 |      24 |         0.14 |
| 2011-06-20 |      24 |         0.14 |
| 2011-07-19 |      24 |         0.14 |
| 2011-07-12 |      24 |         0.14 |
| 2011-07-13 |      24 |         0.14 |
| 2011-07-14 |      24 |         0.14 |
| 2011-07-15 |      24 |         0.14 |
| 2011-07-16 |      24 |         0.14 |
| 2011-07-17 |      24 |         0.14 |
| 2011-07-18 |      24 |         0.14 |
| 2011-07-20 |      24 |         0.14 |
| 2011-07-10 |      24 |         0.14 |
| 2011-07-21 |      24 |         0.14 |
| 2011-07-22 |      24 |         0.14 |
| 2011-07-23 |      24 |         0.14 |
| 2011-07-24 |      24 |         0.14 |
| 2011-07-25 |      24 |         0.14 |
| 2011-07-26 |      24 |         0.14 |
| 2011-07-27 |      24 |         0.14 |
| 2011-07-11 |      24 |         0.14 |
| 2011-07-09 |      24 |         0.14 |
| 2011-06-21 |      24 |         0.14 |
| 2011-06-29 |      24 |         0.14 |
| 2011-06-22 |      24 |         0.14 |
| 2011-06-23 |      24 |         0.14 |
| 2011-06-24 |      24 |         0.14 |
| 2011-06-25 |      24 |         0.14 |
| 2011-06-26 |      24 |         0.14 |
| 2011-06-27 |      24 |         0.14 |
| 2011-06-28 |      24 |         0.14 |
| 2011-06-30 |      24 |         0.14 |
| 2011-07-08 |      24 |         0.14 |
| 2011-07-01 |      24 |         0.14 |
| 2011-12-21 |      24 |         0.14 |
| 2011-07-03 |      24 |         0.14 |
| 2011-07-04 |      24 |         0.14 |
| 2011-07-05 |      24 |         0.14 |
| 2011-07-06 |      24 |         0.14 |
| 2011-07-07 |      24 |         0.14 |
| 2011-05-11 |      24 |         0.14 |
| 2011-05-10 |      24 |         0.14 |
| 2011-05-09 |      24 |         0.14 |
| 2011-03-08 |      24 |         0.14 |
| 2011-02-21 |      24 |         0.14 |
| 2011-02-26 |      24 |         0.14 |
| 2011-03-01 |      24 |         0.14 |
| 2011-03-02 |      24 |         0.14 |
| 2011-03-03 |      24 |         0.14 |
| 2011-03-04 |      24 |         0.14 |
| 2011-03-05 |      24 |         0.14 |
| 2011-03-09 |      24 |         0.14 |
| 2011-02-18 |      24 |         0.14 |
| 2011-03-12 |      24 |         0.14 |
| 2011-03-17 |      24 |         0.14 |
| 2011-03-19 |      24 |         0.14 |
| 2011-03-20 |      24 |         0.14 |
| 2011-03-22 |      24 |         0.14 |
| 2011-03-24 |      24 |         0.14 |
| 2011-03-25 |      24 |         0.14 |
| 2011-02-19 |      24 |         0.14 |
| 2011-02-17 |      24 |         0.14 |
| 2011-03-29 |      24 |         0.14 |
| 2011-01-20 |      24 |         0.14 |
| 2011-01-08 |      24 |         0.14 |
| 2011-01-09 |      24 |         0.14 |
| 2011-01-10 |      24 |         0.14 |
| 2011-01-13 |      24 |         0.14 |
| 2011-01-15 |      24 |         0.14 |
| 2011-01-16 |      24 |         0.14 |
| 2011-01-17 |      24 |         0.14 |
| 2011-01-21 |      24 |         0.14 |
| 2011-02-14 |      24 |         0.14 |
| 2011-01-31 |      24 |         0.14 |
| 2011-02-02 |      24 |         0.14 |
| 2011-02-05 |      24 |         0.14 |
| 2011-02-06 |      24 |         0.14 |
| 2011-02-07 |      24 |         0.14 |
| 2011-02-08 |      24 |         0.14 |
| 2011-02-12 |      24 |         0.14 |
| 2011-03-26 |      24 |         0.14 |
| 2011-03-30 |      24 |         0.14 |
| 2011-05-08 |      24 |         0.14 |
| 2011-04-29 |      24 |         0.14 |
| 2011-04-22 |      24 |         0.14 |
| 2011-04-23 |      24 |         0.14 |
| 2011-04-24 |      24 |         0.14 |
| 2011-04-25 |      24 |         0.14 |
| 2011-04-26 |      24 |         0.14 |
| 2011-04-27 |      24 |         0.14 |
| 2011-04-28 |      24 |         0.14 |
| 2011-04-30 |      24 |         0.14 |
| 2011-04-20 |      24 |         0.14 |
| 2011-05-01 |      24 |         0.14 |
| 2011-05-02 |      24 |         0.14 |
| 2011-05-03 |      24 |         0.14 |
| 2011-05-04 |      24 |         0.14 |
| 2011-05-05 |      24 |         0.14 |
| 2011-05-06 |      24 |         0.14 |
| 2011-05-07 |      24 |         0.14 |
| 2011-04-21 |      24 |         0.14 |
| 2011-04-19 |      24 |         0.14 |
| 2011-03-31 |      24 |         0.14 |
| 2011-04-08 |      24 |         0.14 |
| 2011-04-01 |      24 |         0.14 |
| 2011-04-02 |      24 |         0.14 |
| 2011-04-03 |      24 |         0.14 |
| 2011-04-04 |      24 |         0.14 |
| 2011-04-05 |      24 |         0.14 |
| 2011-04-06 |      24 |         0.14 |
| 2011-04-07 |      24 |         0.14 |
| 2011-04-09 |      24 |         0.14 |
| 2011-04-18 |      24 |         0.14 |
| 2011-04-10 |      24 |         0.14 |
| 2011-04-12 |      24 |         0.14 |
| 2011-04-13 |      24 |         0.14 |
| 2011-04-14 |      24 |         0.14 |
| 2011-04-15 |      24 |         0.14 |
| 2011-04-16 |      24 |         0.14 |
| 2011-04-17 |      24 |         0.14 |
| 2011-07-28 |      24 |         0.14 |
| 2011-07-02 |      24 |         0.14 |
| 2011-07-30 |      24 |         0.14 |
| 2011-10-09 |      24 |         0.14 |
| 2011-10-30 |      24 |         0.14 |
| 2011-10-31 |      24 |         0.14 |
| 2011-11-01 |      24 |         0.14 |
| 2011-11-02 |      24 |         0.14 |
| 2011-11-03 |      24 |         0.14 |
| 2011-11-04 |      24 |         0.14 |
| 2011-11-05 |      24 |         0.14 |
| 2011-11-06 |      24 |         0.14 |
| 2011-11-07 |      24 |         0.14 |
| 2011-07-31 |      24 |         0.14 |
| 2011-11-09 |      24 |         0.14 |
| 2011-11-10 |      24 |         0.14 |
| 2011-11-11 |      24 |         0.14 |
| 2011-11-12 |      24 |         0.14 |
| 2011-11-13 |      24 |         0.14 |
| 2011-10-29 |      24 |         0.14 |
| 2011-10-28 |      24 |         0.14 |
| 2011-10-27 |      24 |         0.14 |
| 2011-10-17 |      24 |         0.14 |
| 2011-10-11 |      24 |         0.14 |
| 2011-10-12 |      24 |         0.14 |
| 2011-10-13 |      24 |         0.14 |
| 2011-10-14 |      24 |         0.14 |
| 2011-10-15 |      24 |         0.14 |
| 2011-10-16 |      24 |         0.14 |
| 2011-10-18 |      24 |         0.14 |
| 2011-10-26 |      24 |         0.14 |
| 2011-10-20 |      24 |         0.14 |
| 2011-10-21 |      24 |         0.14 |
| 2011-10-22 |      24 |         0.14 |
| 2011-10-23 |      24 |         0.14 |
| 2011-10-24 |      24 |         0.14 |
| 2011-10-25 |      24 |         0.14 |
| 2011-11-14 |      24 |         0.14 |
| 2011-11-15 |      24 |         0.14 |
| 2011-11-16 |      24 |         0.14 |
| 2011-12-13 |      24 |         0.14 |
| 2011-12-07 |      24 |         0.14 |
| 2011-12-08 |      24 |         0.14 |
| 2011-12-09 |      24 |         0.14 |
| 2011-12-10 |      24 |         0.14 |
| 2011-12-11 |      24 |         0.14 |
| 2011-12-12 |      24 |         0.14 |
| 2011-12-14 |      24 |         0.14 |
| 2011-12-05 |      24 |         0.14 |
| 2011-12-15 |      24 |         0.14 |
| 2011-12-16 |      24 |         0.14 |
| 2011-12-17 |      24 |         0.14 |
| 2011-12-18 |      24 |         0.14 |
| 2011-12-19 |      24 |         0.14 |
| 2011-12-20 |      24 |         0.14 |
| 2011-12-06 |      24 |         0.14 |
| 2011-12-04 |      24 |         0.14 |
| 2011-11-17 |      24 |         0.14 |
| 2011-11-24 |      24 |         0.14 |
| 2011-11-18 |      24 |         0.14 |
| 2011-11-19 |      24 |         0.14 |
| 2011-11-20 |      24 |         0.14 |
| 2011-11-21 |      24 |         0.14 |
| 2011-11-22 |      24 |         0.14 |
| 2011-11-23 |      24 |         0.14 |
| 2011-11-25 |      24 |         0.14 |
| 2011-12-03 |      24 |         0.14 |
| 2011-11-26 |      24 |         0.14 |
| 2011-11-27 |      24 |         0.14 |
| 2011-11-29 |      24 |         0.14 |
| 2011-11-30 |      24 |         0.14 |
| 2011-12-01 |      24 |         0.14 |
| 2011-12-02 |      24 |         0.14 |
| 2011-10-10 |      24 |         0.14 |
| 2011-11-08 |      24 |         0.14 |
| 2011-10-08 |      24 |         0.14 |
| 2011-08-18 |      24 |         0.14 |
| 2011-08-20 |      24 |         0.14 |
| 2011-10-07 |      24 |         0.14 |
| 2011-08-21 |      24 |         0.14 |
| 2011-08-22 |      24 |         0.14 |
| 2011-08-23 |      24 |         0.14 |
| 2011-08-24 |      24 |         0.14 |
| 2011-08-25 |      24 |         0.14 |
| 2011-08-26 |      24 |         0.14 |
| 2011-08-29 |      24 |         0.14 |
| 2011-08-30 |      24 |         0.14 |
| 2011-08-31 |      24 |         0.14 |
| 2011-09-01 |      24 |         0.14 |
| 2011-09-02 |      24 |         0.14 |
| 2011-09-03 |      24 |         0.14 |
| 2011-09-04 |      24 |         0.14 |
| 2011-08-19 |      24 |         0.14 |
| 2011-08-17 |      24 |         0.14 |
| 2011-09-07 |      24 |         0.14 |
| 2011-08-16 |      24 |         0.14 |
| 2011-08-01 |      24 |         0.14 |
| 2011-08-02 |      24 |         0.14 |
| 2011-08-03 |      24 |         0.14 |
| 2011-08-04 |      24 |         0.14 |
| 2011-08-05 |      24 |         0.14 |
| 2011-08-06 |      24 |         0.14 |
| 2011-08-07 |      24 |         0.14 |
| 2011-08-08 |      24 |         0.14 |
| 2011-08-09 |      24 |         0.14 |
| 2011-08-10 |      24 |         0.14 |
| 2011-08-11 |      24 |         0.14 |
| 2011-08-12 |      24 |         0.14 |
| 2011-08-13 |      24 |         0.14 |
| 2011-08-14 |      24 |         0.14 |
| 2011-08-15 |      24 |         0.14 |
| 2011-09-05 |      24 |         0.14 |
| 2012-12-31 |      24 |         0.14 |
| 2011-09-25 |      24 |         0.14 |
| 2011-09-23 |      24 |         0.14 |
| 2011-10-03 |      24 |         0.14 |
| 2011-09-17 |      24 |         0.14 |
| 2011-09-18 |      24 |         0.14 |
| 2011-09-19 |      24 |         0.14 |
| 2011-09-20 |      24 |         0.14 |
| 2011-09-21 |      24 |         0.14 |
| 2011-09-22 |      24 |         0.14 |
| 2011-10-02 |      24 |         0.14 |
| 2011-10-05 |      24 |         0.14 |
| 2011-09-24 |      24 |         0.14 |
| 2011-10-01 |      24 |         0.14 |
| 2011-09-30 |      24 |         0.14 |
| 2011-09-29 |      24 |         0.14 |
| 2011-09-09 |      24 |         0.14 |
| 2011-09-26 |      24 |         0.14 |
| 2011-09-27 |      24 |         0.14 |
| 2011-10-04 |      24 |         0.14 |
| 2011-09-28 |      24 |         0.14 |
| 2011-09-11 |      24 |         0.14 |
| 2011-09-10 |      24 |         0.14 |
| 2011-09-15 |      24 |         0.14 |
| 2011-09-13 |      24 |         0.14 |
| 2011-09-16 |      24 |         0.14 |
| 2011-09-14 |      24 |         0.14 |
| 2011-10-06 |      24 |         0.14 |
| 2011-01-05 |      23 |         0.13 |
| 2011-02-09 |      23 |         0.13 |
| 2011-10-19 |      23 |         0.13 |
| 2011-01-06 |      23 |         0.13 |
| 2012-11-29 |      23 |         0.13 |
