Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'instant'  ###
| Statistic          |   Overall |
| Count              |    731       |
| Mean               |    848.176   |
| Trimmed Mean (IQR) |    732.01    |
| MAD                |    520.81    |
| Std                |    686.622   |
| Min                |      2       |
| 25%                |    315.5     |
| 50%                |    713       |
| 75%                |   1096       |
| Max                |   3410       |
| Mode               |    120       |
| Range              |   3408       |
| IQR                |    780.5     |
| Variance           | 471450       |
| Skewness           |      1.26645 |
| Kurtosis           |      1.32207 |


### Analysis for 'registered'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              |  731          |
| Mean               | 3656.17       |
| Trimmed Mean (IQR) | 3656.17       |
| MAD                | 1263.72       |
| Std                | 1560.26       |
| Min                |   20          |
| 25%                | 2497          |
| 50%                | 3662          |
| 75%                | 4776.5        |
| Max                | 6946          |
| Mode               | 1707          |
| Range              | 6926          |
| IQR                | 2279.5        |
| Variance           |    2.4344e+06 |
| Skewness           |    0.0436588  |
| Kurtosis           |   -0.713097   |


### Analysis for 'cnt'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              |  731           |
| Mean               | 4504.35        |
| Trimmed Mean (IQR) | 4504.35        |
| MAD                | 1581.79        |
| Std                | 1937.21        |
| Min                |   22           |
| 25%                | 3152           |
| 50%                | 4548           |
| 75%                | 5956           |
| Max                | 8714           |
| Mode               | 1096           |
| Range              | 8692           |
| IQR                | 2804           |
| Variance           |    3.75279e+06 |
| Skewness           |   -0.0473528   |
| Kurtosis           |   -0.811922    |

